date,open,high,low,close,volume,average,barCount
2021-01-04,31.33,33.65,29.93,30.73,11938200.0,31.8744,4033
2021-01-05,30.67,32.53,30.29,32.53,5671800.0,31.81366666666667,1951
2021-01-06,31.09,34.16,30.67,32.93,12180405.0,33.02893333333333,4723
2021-01-07,33.14,36.26,33.14,36.0,7300140.0,34.91826666666667,2425
2021-01-08,36.5,37.94,34.63,35.94,8932155.0,36.40313333333333,3259
2021-01-11,35.53,37.87,34.67,37.6,6389700.0,36.92273333333333,2051
2021-01-12,37.79,38.76,36.71,37.78,6779325.0,37.7866,2488
2021-01-13,37.34,38.93,37.25,38.03,4566180.0,38.09013333333333,1630
2021-01-14,38.67,41.61,38.15,40.43,7202430.0,40.584,2774
2021-01-15,40.2,40.67,37.11,37.8,8866875.0,38.2822,3538
2021-01-19,39.35,42.13,39.07,42.13,8715300.0,40.60406666666667,3620
2021-01-20,42.67,43.52,40.95,41.67,6915900.0,42.11033333333333,2741
2021-01-21,41.18,43.52,41.07,42.71,7259865.0,42.1078,3086
2021-01-22,42.2,42.48,40.71,41.0,7811490.0,41.44506666666667,3051
2021-01-25,41.54,42.14,38.63,40.73,8078190.0,40.61346666666667,3074
2021-01-26,40.87,41.07,38.87,39.0,4561560.0,39.83086666666667,1796
2021-01-27,38.0,38.07,32.54,32.73,12948450.0,34.68393333333333,5457
2021-01-28,32.64,36.58,32.64,35.67,9300660.0,35.386,4358
2021-01-29,34.9,35.82,32.9,33.36,9272880.0,34.1096,3771
2021-02-01,34.0,37.53,34.0,37.33,8738910.0,36.1654,3842
2021-02-02,38.47,39.16,37.47,39.15,6480135.0,38.37326666666667,2796
2021-02-03,39.42,39.93,35.67,36.33,8104545.0,37.83146666666667,3612
2021-02-04,36.22,37.67,35.53,37.4,4932570.0,36.58853333333333,1943
2021-02-05,37.54,38.33,36.59,36.8,5239170.0,37.0244,2086
2021-02-08,37.4,40.13,37.13,40.1,11497050.0,39.0428,5561
2021-02-09,40.13,40.54,39.04,39.73,5426070.0,39.8264,2322
2021-02-10,40.13,41.31,38.38,39.83,9854040.0,39.97513333333333,4074
2021-02-11,40.36,44.27,40.36,44.27,13312905.0,42.81453333333333,5898
2021-02-12,43.93,46.01,43.0,45.77,10569540.0,45.09946666666667,4194
2021-02-16,46.41,48.0,45.81,46.33,8564025.0,46.87853333333333,3818
2021-02-17,46.33,47.0,42.14,44.17,11580405.0,43.76393333333333,4979
2021-02-18,42.28,43.27,41.02,43.2,9778920.0,42.25853333333333,4351
2021-02-19,44.0,46.52,44.0,45.9,14293395.0,45.51786666666667,7276
2021-02-22,43.8,44.94,40.18,40.93,13906515.0,42.45666666666667,6304
2021-02-23,40.0,40.74,35.07,40.27,15287445.0,38.0016,6051
2021-02-24,39.98,44.53,38.07,43.6,10080330.0,41.13293333333333,3753
2021-02-25,42.73,43.01,35.2,35.73,20503005.0,38.84293333333333,8392
2021-02-26,36.73,39.7,35.01,38.27,18481920.0,38.2436,8460
2021-03-01,603.02,643.87,589.98,641.23,1006467.0,620.233,7438
2021-03-02,41.8,43.2,38.45,39.47,17256957.0,40.172,97118
2021-03-03,39.75,40.5,34.26,34.8,18619116.0,36.81,96158
2021-03-04,35.32,35.69,28.44,28.6,29549988.0,31.502,135605
2021-03-05,30.02,33.35,27.73,33.35,27490578.0,30.714,98474
2021-03-08,31.15,32.98,27.5,28.3,25806029.0,30.106,107420
2021-03-09,28.72,33.08,28.72,32.61,18311722.0,31.619,65579
2021-03-10,32.79,34.5,30.62,30.72,18088146.0,32.191,76177
2021-03-11,32.47,35.35,32.47,35.23,17395211.0,34.174,79976
2021-03-12,33.2,33.94,31.05,33.79,15511405.0,32.748,74643
2021-03-15,33.1,35.9,32.71,35.48,14053252.0,34.362,69161
2021-03-16,36.14,38.59,35.62,36.92,25130774.0,37.615,122659
2021-03-17,36.9,39.15,34.51,38.99,19767803.0,36.899,88740
2021-03-18,37.65,38.19,33.45,33.92,23179448.0,35.505,102439
2021-03-19,35.0,35.66,32.38,34.58,18541640.0,34.319,68108
2021-03-22,35.0,38.2,34.78,37.08,21270188.0,37.057,108230
2021-03-23,37.08,37.86,33.51,34.95,23502856.0,35.209,119550
2021-03-24,34.95,36.3,32.53,32.72,22997059.0,34.602,126059
2021-03-25,32.99,33.7,30.1,33.19,26786737.0,31.714,132507
2021-03-26,33.5,37.74,31.9,37.24,32020976.0,35.258,153845
2021-03-29,37.1,37.5,34.5,35.87,25496387.0,35.738,129268
2021-03-30,35.0,35.78,34.28,35.6,16010398.0,35.05,85435
2021-03-31,35.4,38.98,35.22,38.6,22908198.0,37.988,108142
2021-04-01,39.38,42.47,39.21,42.47,24998645.0,41.361,116357
2021-04-05,42.41,45.35,42.03,45.13,23520745.0,44.403,109612
2021-04-06,44.58,44.97,42.07,43.64,16083038.0,43.785,61544
2021-04-07,43.7,44.15,42.34,43.65,11099556.0,43.285,42921
2021-04-08,44.15,45.2,43.6,45.2,11541861.0,44.296,44373
2021-04-09,44.69,44.88,43.13,44.28,9083838.0,43.998,36050
2021-04-12,44.7,44.7,41.8,43.05,13672011.0,42.75,49308
2021-04-13,43.3,44.13,41.57,42.51,12759533.0,42.459,46984
2021-04-14,42.51,43.47,40.63,41.39,11603774.0,42.051,48222
2021-04-15,41.87,43.66,41.56,43.23,12449888.0,42.845,50802
2021-04-16,43.2,43.79,42.48,42.67,9055045.0,42.956,37055
2021-04-19,42.85,43.23,38.25,39.95,18261673.0,39.664,74857
2021-04-20,39.92,40.0,37.03,37.24,12479474.0,37.922,46678
2021-04-21,37.51,40.77,37.3,40.3,14098113.0,39.263,56120
2021-04-22,40.35,40.85,37.27,38.1,19002134.0,38.794,73235
2021-04-23,38.22,40.57,38.06,39.95,12216427.0,39.797,49654
2021-04-26,40.15,42.5,39.12,42.5,12426725.0,41.718,48499
2021-04-27,42.49,43.02,40.95,41.29,11646584.0,41.635,45726
2021-04-28,41.3,41.3,39.31,40.16,11391867.0,39.852,47888
2021-04-29,40.42,41.22,38.48,39.28,13377601.0,39.778,53729
2021-04-30,39.5,39.5,36.56,37.12,17139827.0,37.652,72733
2021-05-03,38.37,38.37,35.07,35.58,12345738.0,36.066,48987
2021-05-04,35.2,35.5,32.0,34.07,21343391.0,33.025,85360
2021-05-05,34.07,35.79,33.0,34.34,14404162.0,34.911,54036
2021-05-06,34.75,35.6,33.16,35.59,13742695.0,34.337,58669
2021-05-07,35.85,37.55,35.51,36.8,15226213.0,36.798,62700
2021-05-10,36.56,36.56,31.5,31.85,22380765.0,33.361,84443
2021-05-11,30.79,32.31,28.61,31.95,27394978.0,30.78,102579
2021-05-12,31.9,32.3,27.81,28.58,29529336.0,28.901,116055
2021-05-13,28.0,30.5,27.21,29.48,23187516.0,29.479,82515
2021-05-14,29.7,32.68,29.58,32.3,20394950.0,31.288,75011
2021-05-17,31.8,31.8,29.43,31.28,17654344.0,30.388,75779
2021-05-18,31.5,32.7,30.01,30.01,13770177.0,31.396,55287
2021-05-19,29.27,32.17,28.22,31.65,25874422.0,30.477,120141
2021-05-20,32.0,34.98,31.2,34.8,26676482.0,34.105,95581
2021-05-21,35.0,35.47,33.81,34.12,22460437.0,34.445,89550
2021-05-24,34.56,37.14,34.55,36.89,20144074.0,36.351,68636
2021-05-25,37.13,37.75,36.24,37.35,18008405.0,37.008,75335
2021-05-26,37.31,37.68,36.18,37.1,12494413.0,36.895,49064
2021-05-27,36.8,38.26,36.17,38.14,15240599.0,37.717,58861
2021-05-28,38.1,39.27,37.88,38.76,14650922.0,38.798,56564
2021-06-01,38.88,40.54,37.74,38.03,16116344.0,38.749,69546
2021-06-02,38.04,39.58,37.7,39.28,11210642.0,38.976,44715
2021-06-03,38.85,39.07,36.51,36.79,15353738.0,37.451,66797
2021-06-04,37.12,39.99,36.88,39.79,14527958.0,39.373,59906
2021-06-07,39.05,39.8,38.15,39.26,10416362.0,38.807,48514
2021-06-08,38.91,39.97,37.3,38.15,12126746.0,38.451,50819
2021-06-09,38.39,38.89,37.3,37.41,10858609.0,37.984,35647
2021-06-10,37.55,39.37,36.88,39.02,16425989.0,38.662,54896
2021-06-11,39.2,39.6,38.57,39.53,7208557.0,39.098,32261
2021-06-14,39.61,41.28,39.05,41.07,16939016.0,40.365,64383
2021-06-15,41.3,41.6,39.74,40.18,12080132.0,40.613,51848
2021-06-16,40.08,40.89,38.07,38.59,15072179.0,39.417,66726
2021-06-17,38.59,41.17,38.17,40.53,16589296.0,40.135,70658
2021-06-18,40.38,40.77,36.75,37.24,18620790.0,38.057,84496
2021-06-21,37.51,38.25,36.59,38.19,11455114.0,37.618,51493
2021-06-22,37.47,38.83,37.4,38.55,9608536.0,38.207,36742
2021-06-23,38.7,39.63,38.48,39.09,7848611.0,39.223,33260
2021-06-24,39.15,41.23,39.15,40.97,11618212.0,40.749,44341
2021-06-25,41.04,41.69,40.29,40.68,8468305.0,41.128,33148
2021-06-28,40.98,44.08,40.9,43.38,16478975.0,43.124,62565
2021-06-29,43.65,44.72,42.88,44.6,11861175.0,43.987,49779
2021-06-30,44.73,44.8,43.67,44.45,8817069.0,44.145,41361
2021-07-01,44.83,44.88,42.13,42.6,10421947.0,43.049,45447
2021-07-02,42.6,43.79,42.25,43.2,9991663.0,43.111,43403
2021-07-06,43.2,44.14,41.36,42.85,9028273.0,42.828,41177
2021-07-07,43.3,43.91,40.69,41.2,9518184.0,41.794,42331
2021-07-08,39.92,40.38,37.76,39.61,13325549.0,39.135,61175
2021-07-09,40.18,41.94,39.25,41.7,8955919.0,41.013,39294
