date,open,high,low,close,volume,average,barCount
2021-01-04,1712.0,1862.0,1648.0,1814.0,50429.79,1759.1,17976
2021-01-05,1820.0,1845.0,1710.0,1710.0,24574.7,1753.1,8327
2021-01-06,1790.0,1818.0,1625.0,1697.0,38417.01,1701.5,14673
2021-01-07,1661.0,1689.0,1519.0,1526.0,35819.76,1572.9,9176
2021-01-08,1520.0,1583.0,1444.0,1527.0,46113.01,1509.4,12126
2021-01-11,1521.0,1577.0,1443.0,1465.0,40692.99,1487.0,11027
2021-01-12,1475.0,1494.0,1411.0,1460.0,45840.05,1453.4,10793
2021-01-13,1411.0,1473.0,1405.0,1429.0,24172.83,1437.9,6863
2021-01-14,1410.0,1420.0,1304.0,1338.0,64535.66,1338.1,17108
2021-01-15,1335.0,1459.0,1335.0,1442.0,58277.83,1418.6,14454
2021-01-19,1400.0,1400.0,1280.0,1280.0,45673.11,1325.5,10326
2021-01-20,1250.0,1313.0,1234.0,1290.0,29672.19,1277.8,6859
2021-01-21,1245.0,1308.0,1229.0,1263.0,35130.75,1272.2,9872
2021-01-22,1287.0,1311.0,1260.0,1310.0,44234.25,1289.8,12506
2021-01-25,1251.0,1379.0,1251.0,1304.0,41507.22,1324.1,11278
2021-01-26,1294.0,1374.0,1275.0,1369.0,30255.27,1343.9,9015
2021-01-27,1390.0,1607.0,1378.0,1588.0,124301.95,1527.5,33697
2021-01-28,1600.0,1630.0,1405.0,1465.0,50835.35,1463.1,18445
2021-01-29,1505.0,1600.0,1444.0,1600.0,43376.44,1517.8,14620
2021-02-01,1520.0,1520.0,1356.0,1362.0,36116.29,1421.2,11370
2021-02-02,1341.0,1361.0,1294.0,1294.0,33175.87,1328.5,10470
2021-02-03,1287.0,1420.0,1277.0,1400.0,31865.06,1346.3,10002
2021-02-04,1375.0,1424.0,1332.0,1350.0,23762.22,1383.4,7090
2021-02-05,1330.0,1382.0,1319.0,1364.0,20348.9,1365.3,5854
2021-02-08,1370.0,1370.0,1247.0,1257.0,30661.95,1288.7,9012
2021-02-09,1242.0,1283.0,1235.0,1258.0,24782.37,1258.1,7431
2021-02-10,1250.0,1303.0,1210.0,1257.0,42573.66,1253.7,12606
2021-02-11,1240.0,1241.0,1120.0,1121.0,67055.17,1164.4,15775
2021-02-12,1139.0,1151.0,1075.0,1084.0,41606.21,1099.4,8863
2021-02-16,1070.0,1079.0,1025.0,1071.0,41196.27,1055.4,10395
2021-02-17,1064.0,1163.0,1060.0,1117.0,53221.18,1121.8,13963
2021-02-18,1149.0,1196.0,1138.0,1148.0,46785.82,1163.2,14341
2021-02-19,1121.0,1121.0,1049.0,1074.0,57802.93,1079.2,14771
2021-02-22,1116.0,1199.0,1089.0,1195.0,50524.07,1144.4,12760
2021-02-23,1200.0,1354.0,1185.0,1218.0,105007.98,1269.7,31131
2021-02-24,1219.0,1268.0,1074.0,1095.0,59697.22,1177.8,16935
2021-02-25,1140.0,1318.0,1103.0,1306.0,112175.73,1221.8,35531
2021-02-26,1265.0,1325.0,1158.0,1205.0,95951.66,1220.6,29696
2021-03-01,1139.0,1165.0,1065.0,1065.0,42911.76,1111.3,9900
2021-03-02,1120.0,1177.0,1059.0,1145.0,55565.46,1132.8,15048
2021-03-03,1101.0,1310.0,1101.0,1285.0,86214.45,1223.0,29015
2021-03-04,1250.0,1549.0,1250.0,1545.0,217151.76,1420.1,74883
2021-03-05,1504.0,1575.0,1319.0,1335.0,196276.57,1451.1,67910
2021-03-08,1372.0,1552.0,1321.0,1490.0,139429.85,1433.5,43296
2021-03-09,1416.0,1433.0,1228.0,1270.0,118847.61,1302.1,26757
2021-03-10,1245.0,1332.0,1180.0,1328.0,137339.63,1273.0,42225
2021-03-11,1233.0,1248.0,1140.0,1152.0,90332.49,1179.1,19951
2021-03-12,1202.0,1275.0,1181.0,1192.0,95764.41,1223.7,24208
2021-03-15,1223.0,1223.0,1106.0,1125.0,59585.21,1165.7,15910
2021-03-16,1100.0,1133.0,1027.0,1078.0,122023.63,1062.1,27333
2021-03-17,1100.0,1150.0,1014.0,1021.0,114888.38,1084.6,26663
2021-03-18,1058.0,1172.0,1058.0,1155.0,116174.88,1125.7,31387
2021-03-19,1150.0,1207.0,1092.0,1135.0,108475.87,1143.9,27845
2021-03-22,1123.0,1123.0,1012.0,1051.0,97837.6,1048.7,22346
2021-03-23,1049.0,1151.0,1026.0,1108.0,94837.01,1102.3,21712
2021-03-24,1103.0,1185.0,1056.0,1178.0,109281.53,1118.7,32154
2021-03-25,1170.0,1273.0,1141.0,1160.0,171744.28,1212.3,44293
2021-03-26,1138.0,1207.0,1000.0,1012.0,145556.24,1082.6,35707
2021-03-29,1021.0,1085.0,1014.0,1048.0,95247.15,1053.1,24405
2021-03-30,1058.0,1095.0,1050.0,1050.0,46981.23,1073.0,13853
2021-03-31,1063.0,1066.0,954.0,967.0,113294.81,980.6,23493
2021-04-01,950.0,950.0,869.0,870.0,104243.9,896.5,20968
2021-04-05,871.0,881.0,811.0,814.0,100504.31,828.7,17810
2021-04-06,828.0,870.0,818.0,840.0,106478.83,839.3,18394
2021-04-07,839.0,867.0,816.0,841.0,76286.4,848.4,13971
2021-04-08,825.0,842.0,812.0,812.0,62655.94,827.1,11216
2021-04-09,844.0,849.0,818.0,820.0,48787.2,832.5,7813
2021-04-12,828.0,873.0,828.0,850.0,61976.21,855.0,10495
2021-04-13,843.0,879.0,828.0,857.0,49557.94,859.7,8431
2021-04-14,855.0,898.0,833.0,883.0,51187.28,871.5,9986
2021-04-15,860.0,884.0,834.0,844.0,53304.37,850.2,8716
2021-04-16,850.0,857.0,832.0,854.0,40987.98,847.2,6919
2021-04-19,840.0,942.0,840.0,910.0,99192.2,913.9,18723
2021-04-20,910.0,974.0,901.0,968.0,86613.62,953.0,16508
2021-04-21,961.0,967.0,879.0,886.0,59838.27,917.4,12898
2021-04-22,874.0,955.0,874.0,936.0,111075.28,922.7,20100
2021-04-23,909.0,938.0,874.0,887.0,64109.05,895.0,10856
2021-04-26,886.0,911.0,834.0,835.0,48907.52,852.4,9179
2021-04-27,835.0,865.0,824.0,860.0,68642.2,851.4,11370
2021-04-28,865.0,899.0,860.0,878.0,48012.23,886.6,8700
2021-04-29,862.0,918.0,855.0,899.0,65803.94,890.0,12900
2021-04-30,905.0,958.0,901.0,943.0,71793.4,931.6,13517
2021-05-03,940.0,997.0,927.0,984.0,56589.48,972.4,10098
2021-05-04,984.0,1084.0,984.0,1025.0,108417.84,1055.1,21349
2021-05-05,1011.0,1034.0,972.0,1021.0,79446.95,999.8,15024
2021-05-06,1003.0,1052.0,979.0,987.0,77615.37,1018.3,16017
2021-05-07,987.0,987.0,925.0,940.0,59996.96,946.0,11797
2021-05-10,949.0,1088.0,949.0,1081.0,80718.83,1035.0,17794
2021-05-11,1153.0,1188.0,1055.0,1070.0,158313.91,1106.9,37756
2021-05-12,1065.0,1218.0,1056.0,1177.0,175677.56,1167.6,43773
2021-05-13,1220.0,1247.0,1091.0,1131.0,134099.71,1136.7,35691
2021-05-14,1110.0,1132.0,1010.0,1036.0,104569.9,1060.2,22450
2021-05-17,1108.0,1121.0,1045.0,1065.0,101086.95,1090.8,20272
2021-05-18,1041.0,1116.0,1015.0,1103.0,58961.25,1058.8,14252
2021-05-19,1123.0,1169.0,1026.0,1042.0,137102.98,1086.5,35137
2021-05-20,1032.0,1058.0,936.0,944.0,97233.16,961.5,20190
2021-05-21,934.0,969.0,924.0,959.0,104158.12,953.1,20359
2021-05-24,948.0,952.0,876.0,884.0,84635.04,898.7,13528
2021-05-25,879.0,900.0,863.0,876.0,117648.02,881.8,19197
2021-05-26,873.0,901.0,865.0,882.0,67980.42,883.9,11058
2021-05-27,894.0,901.0,851.0,855.0,69651.64,865.5,11733
2021-05-28,859.0,862.0,829.0,841.0,60500.79,840.5,9715
2021-06-01,824.0,862.0,802.0,857.0,95290.11,842.1,15186
2021-06-02,856.0,862.0,822.0,829.0,72067.1,835.3,10416
2021-06-03,849.0,887.0,834.0,881.0,116259.07,865.9,21620
2021-06-04,881.0,881.0,806.0,820.0,113553.68,819.2,16442
